Rows;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12
A;Cal;Cal;S137;D136;;;;;;;;
B;IPC;IPC;S138;D137;;;;;;;;
C;INC;INC;S139;D138;;;;;;;;
D;EPC;EPC;S140;D140;;;;;;;;
E;ENC;ENC;S141;D141;;;;;;;;
F;S131;S134;D133;;;;;;;;;
G;S132;S135;D134;;;;;;;;;
H;S133;S136;D135;;;;;;;;;
