Rows;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12
A;Cal1;S135;D133;;;;;;;;;
B;Cal2;S136;D134;;;;;;;;;
C;Cal3;S137;D135;;;;;;;;;
D;Cal4;S138;D136;;;;;;;;;
E;IPC;S139;D137;;;;;;;;;
F;INC;S140;D138;;;;;;;;;
G;S133;S141;D140;;;;;;;;;
H;S134;D132;D141;;;;;;;;;
