Rows,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12
A,Cal,Cal,S07,S15,S23,S31,S39,S47,,,,
B,IPC,IPC,S08,S16,S24,S32,S40,S48,,,,
C,INC,INC,S09,S17,S25,S33,S41,S49,,,,
D,EPC,EPC,S10,S18,S26,S34,S42,S50,,,,
E,ENC,ENC,S11,S19,S27,S35,S43,,,,,
F,S01,S04,S12,S20,S28,S36,S44,,,,,
G,S02,S05,S13,S21,S29,S37,S45,,,,,
H,S03,S06,S14,S22,S30,S38,S46,,,,,
